series,year,edition,分類,原本パス,形式,備考,_csv_series,_status_raw,_hp_filetypes_raw,_report_reason_raw,_sample_raw
新田会大会,2012,15,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,新田会大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第15回新田かるた会百人一首大会
        
	【後援】"
新田会大会,2013,16,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,新田会大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第16回新田かるた会百人一首大会
        
	【後援】"
新田会大会,2014,17,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,新田会大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第17回新田かるた会百人一首大会
        
	【後援】"
新田会大会,2018,21,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,新田会大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第21回新田かるた会百人一首大会
        
	【後援】"
新田会大会,2019,22,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,新田会大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第22回新田かるた会百人一首大会
        
	【後援】"
日タイ交流バンコク大会,2014,10,c,,(索引に該当なし),series_coverage.csv の該当シリーズは開催回の範囲がedition=14(2018)からしか確認できず、edition=10(2014)はHP由来のどの索引(plan.csv/html_index/new_manifest)にも一切出現しない。tournament_seriesマスター側の回次付番が補間/別ソースに基づく可能性があり、実際にHP上でこの回次が開催された一次情報が本コーパスには存在しない。,,,,,
日タイ交流バンコク大会,2018,14,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,日タイ交流バンコク大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第14回日タイ交流小倉百人一首バンコクかるた大会（在タイ日本国大使館杯）
        
	【後援】"
朝倉大会,2016,5,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,朝倉大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"天智天皇杯第5回百人一首朝倉大会
        
	【後援】"
杉並大会,2026,3,c+d,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。 ただし2026年開催のため、単に結果がまだ未公表なだけの可能性が高い(監査基準日2026-06-26時点)。数ヶ月後に再確認を推奨。,杉並大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第3回全国競技かるた杉並大会
東京東会大会,2022,75,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,東京東会大会,NOT_IN_CORPUS,none,HPに結果ファイル無,小倉百人一首競技かるた第75回東京東会大会
東京東会大会,2026,80,c+d,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。 ただし2026年開催のため、単に結果がまだ未公表なだけの可能性が高い(監査基準日2026-06-26時点)。数ヶ月後に再確認を推奨。,東京東会大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第80回全国競技かるた東京東会大会
東京都初心者大会,2012,3,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,東京都初心者大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第3回東京都初心者大会
        
	【後援】"
東京都初心者大会,2018,9,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,東京都初心者大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第9回東京都初心者かるた大会
        
	【後援】"
東京都初心者大会,2019,10,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,東京都初心者大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第10回東京都初心者かるた大会
        
	【後援】"
東京都大会,2023,30,c,,none,series_coverage.csv は IN_CORPUS(取込済)と表示するが hp_filetypes=none(HP自体に結果ファイルなし)と矛盾する。series_coverage.py の日付一致フォールバック(同日開催の別大会が同じcorpus_datesに存在するとinc=Trueになる仕様)による誤検出と判断。実体は原本なし。,東京都大会,IN_CORPUS,none,,第30回競技かるた東京都大会
東京都選手権,2011,16,b,karuta_results/2011/87_2011tokyo_result_detail.xls,excel(順位戦/N回戦ブロック、級別9シート),対戦データ実在(氏名/所属/相手/勝敗/枚数)。本セッションでxlrd実査。順位戦形式。,東京都選手権大会,NOT_IN_CORPUS,excel,特殊形式/未取込(要確認),第16回東京都かるた選手権大会
東京都選手権,2012,17,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,東京都選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第17回東京都かるた選手権大会
        
	【後援】"
東京都選手権,2020,25,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,東京都選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第25回東京都かるた選手権大会
        
	【後援】"
東大阪大会,2022,33,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,東大阪大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第33回全国競技かるた東大阪大会
栃木県選手権,2013,1,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,栃木県選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第1回小倉百人一首かるた栃木県選手権大会
        
	【後援】"
横浜大会,2026,106,c+d,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。 ただし2026年開催のため、単に結果がまだ未公表なだけの可能性が高い(監査基準日2026-06-26時点)。数ヶ月後に再確認を推奨。,横浜大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第106回全国競技かるた横浜大会
沖縄県大会,2023,2,b,karuta_results/new/8638.pdf,pdf,"HP上の結果ファイルはPDFのみ(mdl_id=8638, status=OK)。上記茨城3と同様、PDF専用処理が必要。IN_CORPUSフラグは日付一致フォールバックによる誤検出の可能性が高い。",沖縄県大会,IN_CORPUS,pdf,,第2回沖縄県競技かるた大会
沖縄県選手権,2019,1,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,沖縄県選手権大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),★第1回沖縄県小倉百人一首かるた選手権大会
滋賀県大会,2011,25,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,滋賀県大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第25回滋賀県競技かるた大会
        
	【後援】"
滋賀県大会,2013,27,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,滋賀県大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第27回滋賀県競技かるた大会
        
	【後援】"
滋賀県大会,2016,30,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,滋賀県大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第30回滋賀県競技かるた大会
        
	【後援】"
滋賀県小中学生大会,2013,4,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,滋賀県小中学生大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第4回滋賀県小中学生かるた大会
	    
	  
        
	【後援】"
滋賀県小中学生大会,2015,6,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,滋賀県小中学生大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第6回滋賀県小中学生かるた大会
        
	【後援】"
熊本県大会,2015,2,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,熊本県大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第2回熊本県かるた大会(初心者)
        
	【後援】"
白瀧杯女流高校選手権,2018,6,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,白瀧杯女流高校選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第6回白瀧杯女流かるた高校選手権大会
        
	【後援】"
神奈川県大会,2011,44,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,神奈川県大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第44回神奈川県かるた大会
        
	【後援】"
神奈川県選手権,2012,15,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,神奈川県選手権大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第15回神奈川県かるた選手権大会
        
	【後援】"
福井大会,2025,78,c,,none,series_coverage.csv は IN_CORPUS(取込済)と表示するが hp_filetypes=none(HP自体に結果ファイルなし)と矛盾する。series_coverage.py の日付一致フォールバック(同日開催の別大会が同じcorpus_datesに存在するとinc=Trueになる仕様)による誤検出と判断。実体は原本なし。,福井大会,IN_CORPUS,none,,第78回全国競技かるた福井大会
福井大会,2026,79,c+d,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。 ただし2026年開催のため、単に結果がまだ未公表なだけの可能性が高い(監査基準日2026-06-26時点)。数ヶ月後に再確認を推奨。,福井大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第79回全国競技かるた福井大会
秋田県交流大会,2019,9,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,秋田県交流大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第9回小倉百人一首かるた秋田県交流大会
        
	【後援】"
稲城市民大会,2011,12,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,稲城市民大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第12回稲城市民かるた大会
        
	【後援】"
群馬県大会,2012,28,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,群馬県大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第28回群馬県百人一首かるた大会
        
	【後援】"
群馬県大会,2013,29,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,群馬県大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第29回群馬県百人一首かるた大会
        
	【後援】"
群馬県大会,2014,30,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,群馬県大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第30回群馬県百人一首かるた大会
        
	【後援】"
足利大会,2011,4,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,足利大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第4回足利百人一首かるた競技大会
        
	【後援】"
足利大会,2012,5,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,足利大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第5回足利百人一首かるた競技大会
        
	【後援】"
足利大会,2014,7,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,足利大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第7回足利百人一首かるた競技大会
        
	【後援】"
長崎大会,2010,2,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,長崎大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第2回全国かるた競技長崎大会
長崎大会,2012,3,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,長崎大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第3回全国かるた競技長崎大会
関東地区初心者大会,2017,5,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,関東地区初心者大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第5回関東地区初心者かるた大会
        
	【後援】"
青森大会,2026,3,c+d,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。 ただし2026年開催のため、単に結果がまだ未公表なだけの可能性が高い(監査基準日2026-06-26時点)。数ヶ月後に再確認を推奨。,青森大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第3回全国競技かるた青森大会
静岡大会,2022,55,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,静岡大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第55回全国競技かるた静岡大会
鹿児島県学生大会,2012,31,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県学生大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第31回鹿児島県学生かるた大会
鹿児島県新人育成大会,2019,1,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,鹿児島県新人育成大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"★第1回鹿児島県新人育成かるた大会(D)
        
	【後援】"
鹿児島県新春大会,2013,39,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県新春大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第39回鹿児島県新春かるた大会
鹿児島県新春大会,2014,40,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県新春大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第40回鹿児島県新春かるた大会
鹿児島県新春大会,2015,41,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,鹿児島県新春大会,NOT_IN_CORPUS,none,HPに結果ファイル無,"第41回鹿児島県新春かるた大会
        
	【後援】"
鹿児島県新春大会,2017,43,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県新春大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第43回鹿児島県新春かるた大会
鹿児島県新春大会,2018,44,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県新春大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),★第44回鹿児島県新春かるた大会
鹿児島県新春大会,2019,45,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県新春大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),★第45回鹿児島県新春かるた大会
鹿児島県新春大会,2020,46,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県新春大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),★第46回鹿児島県新春かるた大会
鹿児島県新春大会,2021,47,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県新春大会,NOT_IN_CORPUS,none/pdf/doc,PDF/Word(未パース),★第47回鹿児島県新春かるた大会（1日目）
鹿児島県新春大会,2022,48,c,,none,会員ページに大会行自体はあるが、結果ファイルの掲載がない(no_result扱い)。会員ページ側にそもそも原本が存在しないため、コーパス探索では回収不能。,鹿児島県新春大会,NOT_IN_CORPUS,none,HPに結果ファイル無,第48回鹿児島県新春かるた大会(1日目)
鹿児島県選手権,2013,32,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県選手権大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第32回鹿児島県かるた選手権大会
鹿児島県選手権,2014,33,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県選手権大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第33回鹿児島県かるた選手権大会
鹿児島県選手権,2015,34,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県選手権大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第34回鹿児島県かるた選手権大会
鹿児島県選手権,2016,35,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県選手権大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第35回鹿児島県かるた選手権大会
鹿児島県選手権,2017,36,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県選手権大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),第36回鹿児島県かるた選手権大会
鹿児島県選手権,2018,37,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県選手権大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),★第37回鹿児島県かるた選手権大会
鹿児島県選手権,2021,39,b,,pdf/doc,HP上の結果ファイルがPDFまたはWord形式。現行の標準Excel/HTMLパーサでは非対応。ファイル自体はharvest済(karuta_results配下)。,鹿児島県選手権大会,NOT_IN_CORPUS,pdf/doc,PDF/Word(未パース),★第39回鹿児島県かるた選手権大会
鹿児島県選手権,2022,40,c,,none,series_coverage.csv は IN_CORPUS(取込済)と表示するが hp_filetypes=none(HP自体に結果ファイルなし)と矛盾する。series_coverage.py の日付一致フォールバック(同日開催の別大会が同じcorpus_datesに存在するとinc=Trueになる仕様)による誤検出と判断。実体は原本なし。,鹿児島県選手権大会,IN_CORPUS,none,,第40回鹿児島県かるた選手権大会
